Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %,HPR,HL %,Mkt Cap ($B)
2016-11-25,201.88,202.3,201.8,202.26,37872300,0.0,0,0.19,0.37,0.25,182.56
2016-11-28,201.93,202.23,201.2,201.31,76572500,0.0,0,-0.31,-0.47,0.51,181.71
2016-11-29,201.35,202.19,201.03,201.71,69886700,0.0,0,0.18,0.2,0.58,182.06
2016-11-30,202.36,202.54,201.16,201.22,113291800,0.0,0,-0.56,-0.24,0.69,181.62
2016-12-01,201.54,201.54,200.1,200.48,79040500,0.0,0,-0.53,-0.37,0.72,180.96
2016-12-02,200.57,201.1,200.2,200.58,74840300,0.0,0,0.0,0.05,0.45,181.05
2016-12-05,201.47,202.15,201.26,201.79,67837800,0.0,0,0.16,0.6,0.44,182.13
2016-12-06,201.99,202.46,201.48,202.43,59877400,0.0,0,0.22,0.32,0.49,182.71
2016-12-07,202.26,205.14,202.14,205.08,110738100,0.0,0,1.39,1.31,1.49,185.1
2016-12-08,205.05,206.08,204.76,205.58,99714400,0.0,0,0.26,0.24,0.64,185.55
2016-12-09,205.81,206.84,205.78,206.82,88005800,0.0,0,0.49,0.6,0.51,186.67
2016-12-12,206.72,207.23,206.13,206.58,102016100,0.0,0,-0.07,-0.11,0.53,186.46
2016-12-13,207.28,208.49,207.27,207.96,110477500,0.0,0,0.33,0.67,0.59,187.71
2016-12-14,207.64,208.39,205.78,206.24,142501800,0.0,0,-0.67,-0.83,1.27,186.16
2016-12-15,206.5,208.01,206.25,207.09,124972600,0.0,0,0.29,0.41,0.85,186.92
2016-12-16,207.58,207.64,206.35,206.69,156420200,1.33,0,-0.43,0.45,0.63,186.56
2016-12-19,206.88,207.59,206.72,207.14,90341100,0.0,0,0.12,0.22,0.42,186.96
2016-12-20,207.71,208.09,207.46,207.94,89838800,0.0,0,0.11,0.39,0.31,187.68
2016-12-21,207.8,207.98,207.36,207.36,67909000,0.0,0,-0.21,-0.28,0.3,187.16
2016-12-22,207.2,207.33,206.58,207.0,56219100,0.0,0,-0.1,-0.17,0.36,186.84
2016-12-23,207.05,207.31,206.84,207.3,36697800,0.0,0,0.12,0.15,0.23,187.11
2016-12-27,207.59,208.24,207.57,207.82,42672500,0.0,0,0.11,0.25,0.32,187.58
2016-12-28,208.09,208.11,205.98,206.1,64095000,0.0,0,-0.96,-0.83,1.03,186.03
2016-12-29,206.17,206.55,205.59,206.05,48696100,0.0,0,-0.06,-0.02,0.47,185.98
2016-12-30,206.4,206.5,204.57,205.3,108998300,0.0,0,-0.53,-0.37,0.94,185.3
2017-01-03,206.69,207.41,205.62,206.87,91366500,0.0,0,0.09,0.77,0.87,186.72
2017-01-04,207.22,208.26,207.21,208.1,78744400,0.0,0,0.43,0.59,0.51,187.83
2017-01-05,207.82,208.1,207.09,207.94,78379000,0.0,0,0.06,-0.08,0.49,187.68
2017-01-06,208.06,209.18,207.48,208.68,71559900,0.0,0,0.3,0.36,0.82,188.36
2017-01-09,208.41,208.55,207.96,207.99,46939700,0.0,0,-0.2,-0.33,0.29,187.73
2017-01-10,208.01,208.9,207.58,207.99,63771900,0.0,0,-0.01,0.0,0.64,187.73
2017-01-11,207.9,208.58,207.19,208.58,74650000,0.0,0,0.33,0.28,0.67,188.26
2017-01-12,208.03,208.26,206.61,208.06,72113200,0.0,0,0.01,-0.25,0.8,187.79
2017-01-13,208.24,208.86,208.2,208.53,62717900,0.0,0,0.14,0.23,0.31,188.22
2017-01-17,207.85,208.29,207.39,207.8,61240800,0.0,0,-0.03,-0.35,0.43,187.56
2017-01-18,208.07,208.3,207.48,208.26,54793300,0.0,0,0.09,0.22,0.4,187.97
2017-01-19,208.34,208.49,207.03,207.49,66608800,0.0,0,-0.41,-0.37,0.71,187.28
2017-01-20,208.21,208.77,207.54,208.25,129168600,0.0,0,0.02,0.37,0.59,187.97
2017-01-23,208.25,208.31,206.9,207.71,75061600,0.0,0,-0.26,-0.26,0.68,187.48
2017-01-24,207.94,209.48,207.82,209.04,95555300,0.0,0,0.53,0.64,0.8,188.68
2017-01-25,210.05,210.85,209.88,210.85,84437700,0.0,0,0.38,0.87,0.46,190.31
2017-01-26,210.69,210.98,210.33,210.63,59970700,0.0,0,-0.03,-0.1,0.31,190.11
2017-01-27,210.71,210.87,210.1,210.3,59711100,0.0,0,-0.2,-0.16,0.36,189.81
2017-01-30,209.56,209.59,207.95,208.99,79737300,0.0,0,-0.27,-0.62,0.79,188.64
2017-01-31,208.47,209.04,207.86,208.98,75880800,0.0,0,0.24,-0.01,0.57,188.62
2017-02-01,208.98,209.95,208.43,209.06,79117700,0.0,0,0.04,0.04,0.73,188.7
2017-02-02,209.06,209.5,208.32,209.2,69657600,0.0,0,0.07,0.07,0.56,188.82
2017-02-03,210.16,210.83,209.83,210.64,80563200,0.0,0,0.23,0.69,0.48,190.12
2017-02-06,210.21,210.63,209.9,210.26,57790100,0.0,0,0.03,-0.18,0.35,189.78
2017-02-07,210.67,210.93,210.07,210.27,57931200,0.0,0,-0.19,0.0,0.41,189.79
2017-02-08,210.27,210.68,209.69,210.55,51566200,0.0,0,0.13,0.13,0.47,190.04
2017-02-09,210.55,212.12,210.55,211.79,65955200,0.0,0,0.59,0.59,0.75,191.17
2017-02-10,212.16,212.87,211.81,212.63,66015900,0.0,0,0.22,0.39,0.5,191.92
2017-02-13,213.15,214.06,213.13,213.79,55182100,0.0,0,0.3,0.54,0.44,192.96
2017-02-14,213.59,214.65,213.23,214.64,71109000,0.0,0,0.49,0.4,0.67,193.74
2017-02-15,214.41,215.96,214.36,215.76,86785800,0.0,0,0.63,0.52,0.75,194.75
2017-02-16,215.79,215.98,214.78,215.58,84722400,0.0,0,-0.1,-0.09,0.56,194.58
2017-02-17,214.87,215.92,214.85,215.92,77204100,0.0,0,0.49,0.16,0.5,194.89
2017-02-21,216.31,217.39,216.3,217.2,88946100,0.0,0,0.41,0.6,0.5,196.05
2017-02-22,216.77,217.25,216.6,217.01,62115200,0.0,0,0.11,-0.09,0.3,195.87
2017-02-23,217.56,217.58,216.35,217.16,74615900,0.0,0,-0.19,0.07,0.57,196.01
2017-02-24,216.26,217.48,216.21,217.43,82381600,0.0,0,0.54,0.13,0.59,196.26
2017-02-27,217.34,217.96,217.08,217.77,56515400,0.0,0,0.2,0.16,0.41,196.56
2017-02-28,217.37,217.63,216.77,217.19,96961900,0.0,0,-0.08,-0.27,0.39,196.03
2017-03-01,218.95,220.72,218.93,220.23,149158200,0.0,0,0.58,1.4,0.82,198.78
2017-03-02,220.02,220.03,218.78,218.84,70246000,0.0,0,-0.54,-0.63,0.57,197.52
2017-03-03,218.75,219.15,218.34,218.98,81974300,0.0,0,0.1,0.06,0.37,197.65
2017-03-06,218.13,218.7,217.68,218.32,55391500,0.0,0,0.09,-0.3,0.47,197.06
2017-03-07,218.0,218.38,217.45,217.67,65103700,0.0,0,-0.15,-0.3,0.43,196.47
2017-03-08,217.99,218.26,217.12,217.27,78168800,0.0,0,-0.33,-0.19,0.52,196.11
2017-03-09,217.4,217.89,216.52,217.54,90683900,0.0,0,0.07,0.13,0.64,196.36
2017-03-10,218.56,218.61,217.3,218.31,81991700,0.0,0,-0.12,0.35,0.6,197.04
2017-03-13,218.24,218.46,217.89,218.42,57256800,0.0,0,0.08,0.05,0.26,197.14
2017-03-14,217.84,217.89,216.93,217.58,59880800,0.0,0,-0.12,-0.38,0.44,196.39
2017-03-15,218.19,219.91,217.94,219.46,96081800,0.0,0,0.59,0.87,0.91,198.09
2017-03-16,219.61,219.69,218.68,219.03,78344000,0.0,0,-0.26,-0.2,0.46,197.7
2017-03-17,219.31,219.51,218.65,218.65,89002100,1.03,0,-0.3,0.3,0.4,197.35
2017-03-20,218.65,218.95,217.99,218.41,52537000,0.0,0,-0.11,-0.11,0.44,197.13
2017-03-21,219.05,219.18,215.46,215.6,131809300,0.0,0,-1.57,-1.28,1.73,194.6
2017-03-22,215.64,216.42,214.98,216.11,97569200,0.0,0,0.22,0.24,0.67,195.06
2017-03-23,216.11,217.09,215.48,215.88,100410300,0.0,0,-0.11,-0.11,0.74,194.85
2017-03-24,216.2,216.81,214.89,215.72,112504900,0.0,0,-0.22,-0.07,0.89,194.71
2017-03-27,213.94,215.78,213.65,215.5,87454500,0.0,0,0.73,-0.1,1.0,194.51
2017-03-28,215.18,217.52,215.06,217.07,93483900,0.0,0,0.88,0.73,1.15,195.93
2017-03-29,216.77,217.52,216.53,217.27,61950400,0.0,0,0.23,0.09,0.46,196.11
2017-03-30,217.21,218.18,217.02,217.96,56737900,0.0,0,0.35,0.32,0.53,196.74
2017-03-31,217.61,218.17,217.4,217.46,73733100,0.0,0,-0.07,-0.23,0.35,196.28
2017-04-03,217.51,217.72,215.77,217.08,85546500,0.0,0,-0.2,-0.17,0.91,195.94
2017-04-04,216.77,217.31,216.37,217.22,56466200,0.0,0,0.2,0.06,0.43,196.06
2017-04-05,217.94,218.98,216.35,216.57,108800600,0.0,0,-0.63,-0.3,1.22,195.48
2017-04-06,216.72,217.73,216.25,217.18,69135800,0.0,0,0.21,0.28,0.69,196.03
2017-04-07,216.91,217.7,216.44,216.96,74412300,0.0,0,0.02,-0.1,0.58,195.83
2017-04-10,217.11,217.94,216.53,217.09,67615300,0.0,0,-0.01,0.06,0.65,195.94
2017-04-11,216.68,216.94,215.24,216.83,88045300,0.0,0,0.07,-0.12,0.79,195.71
2017-04-12,216.53,216.74,215.64,215.88,81864400,0.0,0,-0.3,-0.44,0.51,194.85
2017-04-13,215.52,216.3,214.48,214.48,92880400,0.0,0,-0.48,-0.65,0.85,193.59
2017-04-17,215.03,216.38,214.82,216.38,68405400,0.0,0,0.63,0.89,0.73,195.3
2017-04-18,215.59,216.3,215.0,215.73,83225800,0.0,0,0.06,-0.3,0.6,194.72
2017-04-19,216.33,216.73,215.1,215.34,68699900,0.0,0,-0.46,-0.18,0.76,194.36
2017-04-20,215.99,217.56,215.65,217.09,92572200,0.0,0,0.51,0.81,0.89,195.94
2017-04-21,217.01,217.06,215.97,216.4,110389800,0.0,0,-0.28,-0.32,0.5,195.32
2017-04-24,218.79,219.0,216.37,218.78,119209900,0.0,0,-0.0,1.1,1.22,197.47
2017-04-25,219.46,220.42,219.37,220.05,76698300,0.0,0,0.27,0.58,0.48,198.62
2017-04-26,220.01,220.95,219.87,219.91,84702500,0.0,0,-0.05,-0.06,0.5,198.49
2017-04-27,220.25,220.42,219.52,220.1,57410300,0.0,0,-0.07,0.08,0.41,198.66
2017-04-28,220.37,220.4,219.48,219.62,63532800,0.0,0,-0.34,-0.22,0.42,198.23
2017-05-01,220.17,220.62,219.73,220.17,66882500,0.0,0,0.0,0.25,0.41,198.72
2017-05-02,220.32,220.45,219.82,220.25,57375700,0.0,0,-0.03,0.04,0.29,198.8
2017-05-03,220.25,220.35,219.27,219.98,73137700,0.0,0,-0.12,-0.12,0.5,198.56
2017-05-04,220.31,220.39,219.34,220.24,61462700,0.0,0,-0.03,0.12,0.48,198.79
2017-05-05,220.64,221.13,220.17,221.11,62001300,0.0,0,0.21,0.39,0.44,199.57
2017-05-08,221.16,221.31,220.62,221.07,48385700,0.0,0,-0.04,-0.02,0.31,199.54
2017-05-09,221.35,221.56,220.5,220.87,51363200,0.0,0,-0.22,-0.09,0.48,199.36
2017-05-10,220.82,221.27,220.6,221.27,54293800,0.0,0,0.2,0.18,0.3,199.72
2017-05-11,220.79,220.99,219.66,220.82,62358300,0.0,0,0.01,-0.2,0.6,199.31
2017-05-12,220.55,220.86,220.16,220.45,53912700,0.0,0,-0.05,-0.17,0.32,198.97
2017-05-15,220.9,221.79,220.88,221.66,61918900,0.0,0,0.35,0.55,0.41,200.07
2017-05-16,221.98,222.01,221.05,221.46,51241800,0.0,0,-0.23,-0.09,0.43,199.89
2017-05-17,221.46,221.46,217.47,217.53,172174100,0.0,0,-1.77,-1.77,1.84,196.34
2017-05-18,217.45,219.31,217.17,218.41,107047700,0.0,0,0.44,0.4,0.99,197.13
2017-05-19,218.92,220.54,218.87,219.83,115011400,0.0,0,0.41,0.65,0.76,198.42
2017-05-22,220.37,221.12,220.3,220.94,61010600,0.0,0,0.26,0.51,0.37,199.42
2017-05-23,221.34,221.61,220.94,221.43,48341700,0.0,0,0.04,0.22,0.3,199.87
2017-05-24,221.68,222.06,221.32,221.95,46927700,0.0,0,0.12,0.23,0.33,200.33
2017-05-25,222.49,223.31,222.27,223.01,64071700,0.0,0,0.23,0.48,0.46,201.29
2017-05-26,222.81,223.14,222.72,222.96,46629900,0.0,0,0.07,-0.02,0.19,201.25
2017-05-30,222.62,223.04,222.46,222.77,35201900,0.0,0,0.07,-0.09,0.26,201.07
2017-05-31,223.08,223.12,221.98,222.72,91796000,0.0,0,-0.17,-0.02,0.52,201.02
2017-06-01,223.2,224.5,222.9,224.49,68962000,0.0,0,0.57,0.8,0.72,202.62
2017-06-02,224.54,225.4,224.23,225.23,88666100,0.0,0,0.31,0.33,0.52,203.3
2017-06-05,225.05,225.35,224.86,225.07,44698800,0.0,0,0.01,-0.07,0.22,203.15
2017-06-06,224.47,225.06,224.27,224.35,50375400,0.0,0,-0.05,-0.32,0.35,202.5
2017-06-07,224.71,225.0,224.0,224.76,54144300,0.0,0,0.02,0.19,0.45,202.87
2017-06-08,224.86,225.38,224.31,224.87,65950700,0.0,0,0.0,0.05,0.48,202.97
2017-06-09,225.16,226.01,223.19,224.53,132256400,0.0,0,-0.28,-0.15,1.26,202.66
2017-06-12,224.27,224.54,223.58,224.49,86108100,0.0,0,0.09,-0.02,0.43,202.62
2017-06-13,225.06,225.64,224.69,225.58,60067000,0.0,0,0.23,0.49,0.42,203.61
2017-06-14,225.87,225.88,224.42,225.3,78602300,0.0,0,-0.25,-0.13,0.65,203.35
2017-06-15,223.86,224.99,223.56,224.86,66464900,0.0,0,0.45,-0.19,0.64,202.96
2017-06-16,225.03,225.09,223.98,224.91,84553100,1.18,0,-0.05,0.55,0.5,203.01
2017-06-19,225.79,226.85,225.69,226.79,65123800,0.0,0,0.44,0.83,0.51,204.7
2017-06-20,226.41,226.42,225.24,225.26,56906400,0.0,0,-0.51,-0.67,0.52,203.32
2017-06-21,225.67,225.79,224.7,225.2,55977600,0.0,0,-0.21,-0.02,0.49,203.27
2017-06-22,225.21,225.74,224.91,225.1,44148100,0.0,0,-0.05,-0.05,0.37,203.17
2017-06-23,225.16,225.72,224.76,225.37,66986800,0.0,0,0.09,0.12,0.43,203.42
2017-06-26,226.08,226.53,225.29,225.52,56700500,0.0,0,-0.25,0.07,0.55,203.55
2017-06-27,225.28,225.6,223.68,223.7,82247700,0.0,0,-0.7,-0.81,0.86,201.91
2017-06-28,224.78,225.91,224.53,225.7,70042600,0.0,0,0.41,0.9,0.62,203.72
2017-06-29,225.86,225.91,222.43,223.72,106949700,0.0,0,-0.95,-0.88,1.57,201.93
2017-06-30,224.58,224.98,223.93,224.14,86820700,0.0,0,-0.2,0.19,0.47,202.3
2017-07-03,225.14,225.6,224.52,224.52,39153800,0.0,0,-0.28,0.17,0.48,202.65
2017-07-05,224.9,225.26,224.04,225.03,54427600,0.0,0,0.06,0.23,0.54,203.12
2017-07-06,224.22,224.35,222.78,222.98,65400800,0.0,0,-0.55,-0.91,0.7,201.26
2017-07-07,223.59,224.58,222.99,224.42,57972300,0.0,0,0.37,0.65,0.71,202.56
2017-07-10,224.42,225.06,224.1,224.66,36663300,0.0,0,0.11,0.11,0.43,202.78
2017-07-11,224.66,224.83,223.25,224.5,50354600,0.0,0,-0.07,-0.07,0.71,202.63
2017-07-12,225.53,226.36,225.53,226.18,59610400,0.0,0,0.29,0.75,0.37,204.15
2017-07-13,226.19,226.68,225.95,226.56,39471600,0.0,0,0.16,0.17,0.32,204.5
2017-07-14,226.56,228.0,226.46,227.62,60262700,0.0,0,0.47,0.47,0.68,205.45
2017-07-17,227.54,227.94,227.41,227.59,33531900,0.0,0,0.02,-0.01,0.24,205.43
2017-07-18,227.16,227.77,226.8,227.71,42742500,0.0,0,0.24,0.05,0.43,205.53
2017-07-19,228.05,228.96,228.04,228.95,51034300,0.0,0,0.39,0.54,0.4,206.65
2017-07-20,229.21,229.34,228.46,229.05,47135200,0.0,0,-0.07,0.04,0.39,206.74
2017-07-21,228.44,228.87,228.2,228.84,82340800,0.0,0,0.18,-0.09,0.3,206.55
2017-07-24,228.76,228.94,228.29,228.79,46622300,0.0,0,0.01,-0.02,0.28,206.5
2017-07-25,229.59,229.7,229.1,229.34,54915600,0.0,0,-0.1,0.24,0.26,207.01
2017-07-26,229.65,229.69,229.08,229.35,47575400,0.0,0,-0.13,0.0,0.27,207.01
2017-07-27,229.85,229.88,227.73,229.14,70766600,0.0,0,-0.31,-0.09,0.94,206.82
2017-07-28,228.63,229.01,228.15,228.87,50088400,0.0,0,0.11,-0.12,0.38,206.58
2017-07-31,229.3,229.4,228.52,228.74,65838700,0.0,0,-0.24,-0.06,0.39,206.46
2017-08-01,229.38,229.42,228.7,229.25,55050400,0.0,0,-0.06,0.22,0.32,206.92
2017-08-02,229.39,229.51,228.37,229.36,47211200,0.0,0,-0.01,0.05,0.5,207.02
2017-08-03,229.24,229.27,228.62,228.92,40856000,0.0,0,-0.14,-0.19,0.28,206.62
2017-08-04,229.44,229.69,228.93,229.34,60191800,0.0,0,-0.04,0.18,0.33,207.0
2017-08-07,229.41,229.76,229.3,229.76,31995000,0.0,0,0.15,0.19,0.2,207.38
2017-08-08,229.43,230.73,228.8,229.2,61719400,0.0,0,-0.1,-0.25,0.84,206.87
2017-08-09,228.46,229.24,228.08,229.19,62632600,0.0,0,0.32,-0.0,0.51,206.86
2017-08-10,228.3,228.44,225.9,225.95,120479500,0.0,0,-1.03,-1.41,1.12,203.94
2017-08-11,226.19,226.92,225.94,226.29,74869900,0.0,0,0.04,0.15,0.43,204.25
2017-08-14,227.65,228.76,227.61,228.53,73291900,0.0,0,0.39,0.99,0.5,206.27
2017-08-15,228.94,228.96,228.18,228.5,55242700,0.0,0,-0.19,-0.01,0.34,206.25
2017-08-16,229.06,229.48,228.45,228.9,56715500,0.0,0,-0.07,0.17,0.45,206.6
2017-08-17,228.25,228.58,225.33,225.33,128490400,0.0,0,-1.28,-1.56,1.44,203.38
2017-08-18,225.15,226.35,224.51,224.98,136748000,0.0,0,-0.08,-0.16,0.82,203.07
2017-08-21,224.91,225.43,224.16,225.15,65469700,0.0,0,0.11,0.08,0.57,203.22
2017-08-22,225.78,227.68,225.76,227.51,63140100,0.0,0,0.77,1.05,0.85,205.35
2017-08-23,226.48,227.15,226.32,226.69,50203800,0.0,0,0.09,-0.36,0.36,204.61
2017-08-24,227.1,227.27,225.94,226.17,50741700,0.0,0,-0.41,-0.23,0.59,204.14
2017-08-25,227.01,227.67,226.54,226.69,64445900,0.0,0,-0.14,0.23,0.5,204.61
2017-08-28,227.26,227.29,226.26,226.7,40565600,0.0,0,-0.24,0.0,0.45,204.62
2017-08-29,225.3,227.24,225.18,226.96,51135700,0.0,0,0.74,0.11,0.91,204.86
2017-08-30,226.94,228.32,226.75,228.04,62030800,0.0,0,0.48,0.47,0.69,205.83
2017-08-31,228.7,229.67,228.07,229.41,103803900,0.0,0,0.31,0.6,0.7,207.07
2017-09-01,229.81,230.19,229.58,229.73,62007000,0.0,0,-0.03,0.14,0.27,207.36
2017-09-05,229.2,229.44,227.06,228.08,91398800,0.0,0,-0.49,-0.72,1.05,205.87
2017-09-06,228.81,229.21,228.24,228.86,57916900,0.0,0,0.02,0.34,0.43,206.57
2017-09-07,229.19,229.21,228.4,228.83,58034700,0.0,0,-0.15,-0.01,0.35,206.55
2017-09-08,228.53,229.06,228.31,228.57,63832800,0.0,0,0.02,-0.12,0.33,206.3
2017-09-11,229.92,231.09,229.9,231.0,71364800,0.0,0,0.47,1.07,0.52,208.5
2017-09-12,231.39,231.82,231.2,231.78,56896000,0.0,0,0.17,0.34,0.27,209.21
2017-09-13,231.48,231.93,231.36,231.89,59228000,0.0,0,0.18,0.05,0.25,209.31
2017-09-14,231.55,232.03,231.37,231.82,95446300,0.0,0,0.12,-0.03,0.29,209.24
2017-09-15,231.67,232.22,231.55,232.13,95432400,1.24,0,0.2,0.67,0.29,209.52
2017-09-18,232.52,233.0,232.22,232.63,46235200,0.0,0,0.04,0.21,0.34,209.97
2017-09-19,232.89,232.95,232.51,232.86,47108100,0.0,0,-0.01,0.1,0.19,210.18
2017-09-20,232.95,233.06,231.88,232.94,59574100,0.0,0,-0.0,0.04,0.51,210.25
2017-09-21,232.77,232.87,232.13,232.32,48211400,0.0,0,-0.2,-0.27,0.32,209.69
2017-09-22,232.0,232.54,231.97,232.36,51214000,0.0,0,0.16,0.02,0.24,209.73
2017-09-25,232.09,232.47,231.1,231.89,57064400,0.0,0,-0.09,-0.2,0.59,209.3
2017-09-26,232.35,232.61,231.78,232.03,54082000,0.0,0,-0.14,0.06,0.36,209.43
2017-09-27,232.77,233.34,231.83,232.93,81001400,0.0,0,0.07,0.39,0.65,210.25
2017-09-28,232.63,233.3,232.54,233.21,44778800,0.0,0,0.25,0.12,0.32,210.5
2017-09-29,233.2,234.12,233.01,234.03,85578000,0.0,0,0.36,0.35,0.48,211.24
2017-10-02,234.27,235.05,234.09,235.05,59023000,0.0,0,0.33,0.43,0.41,212.15
2017-10-03,235.05,235.58,234.96,235.55,66810200,0.0,0,0.21,0.21,0.26,212.61
2017-10-04,235.39,236.09,235.27,235.83,55953600,0.0,0,0.19,0.12,0.35,212.86
2017-10-05,236.18,237.25,235.87,237.23,63522800,0.0,0,0.44,0.59,0.58,214.12
2017-10-06,236.75,237.26,236.47,236.96,80646000,0.0,0,0.09,-0.11,0.33,213.88
2017-10-09,237.2,237.26,236.29,236.57,35803100,0.0,0,-0.27,-0.17,0.41,213.52
2017-10-10,237.17,237.59,236.59,237.19,43057400,0.0,0,0.01,0.26,0.42,214.09
2017-10-11,237.09,237.56,236.91,237.56,47674300,0.0,0,0.2,0.16,0.28,214.42
2017-10-12,237.23,237.6,236.96,237.21,47065100,0.0,0,-0.01,-0.15,0.27,214.1
2017-10-13,237.67,237.8,237.21,237.5,54800400,0.0,0,-0.07,0.12,0.25,214.37
2017-10-16,237.74,238.02,237.38,237.81,38221700,0.0,0,0.03,0.13,0.27,214.65
2017-10-17,237.76,238.03,237.53,237.98,31561000,0.0,0,0.09,0.07,0.21,214.8
2017-10-18,238.38,238.43,238.01,238.21,40888300,0.0,0,-0.07,0.1,0.18,215.01
2017-10-19,237.39,238.32,236.94,238.28,61903800,0.0,0,0.38,0.03,0.58,215.07
2017-10-20,239.13,239.54,238.26,239.51,89176400,0.0,0,0.16,0.52,0.54,216.18
2017-10-23,239.85,239.88,238.49,238.58,63915300,0.0,0,-0.53,-0.39,0.58,215.34
2017-10-24,239.03,239.25,238.62,239.0,66935900,0.0,0,-0.02,0.18,0.27,215.72
2017-10-25,238.64,238.76,236.61,237.81,103715300,0.0,0,-0.35,-0.5,0.91,214.65
2017-10-26,238.47,238.75,237.99,238.12,69798000,0.0,0,-0.14,0.13,0.32,214.93
2017-10-27,238.91,240.24,238.13,240.07,85562500,0.0,0,0.48,0.82,0.88,216.69
2017-10-30,238.91,239.97,238.86,239.17,54285700,0.0,0,0.11,-0.37,0.46,215.88
2017-10-31,239.57,239.82,239.23,239.55,60304800,0.0,0,-0.01,0.16,0.25,216.21
2017-11-01,240.38,240.74,239.47,239.86,54202700,0.0,0,-0.21,0.13,0.53,216.5
2017-11-02,239.79,240.11,238.65,239.96,56449500,0.0,0,0.07,0.04,0.61,216.58
2017-11-03,240.12,240.8,239.69,240.76,59589700,0.0,0,0.26,0.33,0.47,217.31
2017-11-06,240.62,241.27,240.54,241.13,49652600,0.0,0,0.21,0.15,0.3,217.64
2017-11-07,241.24,241.6,240.42,240.96,57502200,0.0,0,-0.12,-0.07,0.49,217.49
2017-11-08,240.78,241.48,240.48,241.37,50469600,0.0,0,0.25,0.17,0.41,217.86
2017-11-09,240.09,240.7,238.81,240.5,95085500,0.0,0,0.17,-0.36,0.79,217.07
2017-11-10,240.09,240.61,239.75,240.42,59984700,0.0,0,0.14,-0.03,0.36,217.01
2017-11-13,239.7,240.89,239.66,240.65,50228600,0.0,0,0.4,0.09,0.51,217.21
2017-11-14,239.79,240.2,238.96,240.09,61315200,0.0,0,0.12,-0.23,0.52,216.7
2017-11-15,239.05,239.61,238.13,238.89,80811500,0.0,0,-0.07,-0.5,0.62,215.62
2017-11-16,239.89,241.31,239.84,240.92,67777000,0.0,0,0.43,0.85,0.61,217.45
2017-11-17,240.54,240.89,240.12,240.21,75756800,0.0,0,-0.14,-0.29,0.32,216.81
2017-11-20,240.47,240.82,240.21,240.62,48075500,0.0,0,0.06,0.17,0.26,217.18
2017-11-21,241.44,242.39,240.58,242.19,69176800,0.0,0,0.31,0.65,0.75,218.6
2017-11-22,242.2,242.34,241.8,241.98,45033400,0.0,0,-0.09,-0.09,0.22,218.41
